DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
186 - PLEURAL EFFUSION W MCC,NE,85,41627.31765,10824.43529,9335.364706
186 - PLEURAL EFFUSION W MCC,WV,95,27505.81053,10226.25263,8740.326316
186 - PLEURAL EFFUSION W MCC,KS,97,46491,10713.91753,9154.494845
186 - PLEURAL EFFUSION W MCC,NV,103,81372.76699,11771.95146,10549.56311
186 - PLEURAL EFFUSION W MCC,CT,108,42156.41667,13924.33333,12364.2963
186 - PLEURAL EFFUSION W MCC,CO,114,51930.19298,11658.57018,9853.789474
186 - PLEURAL EFFUSION W MCC,IA,115,28059.44348,10225.6,8958.608696
186 - PLEURAL EFFUSION W MCC,MS,127,34429.14173,9096.149606,8271.401575
186 - PLEURAL EFFUSION W MCC,OK,133,37765.61654,10615.96241,9343.909774
186 - PLEURAL EFFUSION W MCC,MN,146,36258.50685,12455.23973,10721.49315
186 - PLEURAL EFFUSION W MCC,WA,158,38291.96835,11447.31646,10389.29114
186 - PLEURAL EFFUSION W MCC,SC,173,46811.50867,10376.80925,9024.138728
186 - PLEURAL EFFUSION W MCC,KY,184,30830.15217,9899.418478,8775.086957
186 - PLEURAL EFFUSION W MCC,AR,193,32177.40415,9413.497409,8492.11399
186 - PLEURAL EFFUSION W MCC,WI,193,30895.56995,10630.63731,9415.870466
186 - PLEURAL EFFUSION W MCC,AL,203,45293.77833,9588.655172,8640.62069
186 - PLEURAL EFFUSION W MCC,LA,205,39559.78049,10294.85854,8862.673171
186 - PLEURAL EFFUSION W MCC,MA,223,23850.91031,13150.11211,11912.13453
186 - PLEURAL EFFUSION W MCC,AZ,241,41065.47718,10957.93776,10101.38174
186 - PLEURAL EFFUSION W MCC,IN,247,36943.76518,10107.95547,8823.425101
186 - PLEURAL EFFUSION W MCC,MO,247,37735.72874,9721.765182,8872.631579
186 - PLEURAL EFFUSION W MCC,MD,260,16031.53077,14831.39231,13499.72692
186 - PLEURAL EFFUSION W MCC,NJ,305,87981.02951,12062.3541,10660.59344
186 - PLEURAL EFFUSION W MCC,VA,311,40749.55627,10879.51768,8921.051447
186 - PLEURAL EFFUSION W MCC,TN,323,35891.80805,9481.396285,8406.260062
186 - PLEURAL EFFUSION W MCC,GA,329,36102.53799,9858.844985,9078.550152
186 - PLEURAL EFFUSION W MCC,NC,341,31291.32845,10864.05279,8912.683284
186 - PLEURAL EFFUSION W MCC,MI,383,28198.53003,11117.0705,9820.856397
186 - PLEURAL EFFUSION W MCC,PA,439,56426.52164,11483.17084,9437.462415
186 - PLEURAL EFFUSION W MCC,OH,471,36211.98089,10612.73885,8948.454352
186 - PLEURAL EFFUSION W MCC,IL,513,42580.11306,10804.44834,9634.547758
186 - PLEURAL EFFUSION W MCC,NY,554,51167.11372,14683.75451,12813.41155
186 - PLEURAL EFFUSION W MCC,FL,774,54032.07235,9995.649871,8841.639535
186 - PLEURAL EFFUSION W MCC,CA,811,80996.15783,14229.8619,12958.08385
186 - PLEURAL EFFUSION W MCC,TX,841,55262.717,11011.57551,9342.294887
187 - PLEURAL EFFUSION W CC,AK,14,37494.78571,11145.71429,10433.14286
187 - PLEURAL EFFUSION W CC,ND,17,18387.11765,7081.470588,6171.352941
187 - PLEURAL EFFUSION W CC,MT,23,15903.17391,6986.956522,6237.391304
187 - PLEURAL EFFUSION W CC,HI,25,25679.28,11262,8632
187 - PLEURAL EFFUSION W CC,SD,28,23854.96429,7523.857143,6724.214286
187 - PLEURAL EFFUSION W CC,ID,30,23676.56667,7582.1,5796.133333
187 - PLEURAL EFFUSION W CC,RI,33,29434.18182,9119.212121,7823
187 - PLEURAL EFFUSION W CC,DC,34,27968.35294,10143.55882,7642.529412
187 - PLEURAL EFFUSION W CC,ME,36,14335.38889,7091.055556,6285.027778
187 - PLEURAL EFFUSION W CC,DE,37,24118.48649,8563.081081,7518.810811
187 - PLEURAL EFFUSION W CC,UT,40,21495.725,8105.65,6596.475
187 - PLEURAL EFFUSION W CC,NH,41,25183.43902,7785.195122,6849.707317
187 - PLEURAL EFFUSION W CC,NM,44,32353.25,9060.272727,8108.75
187 - PLEURAL EFFUSION W CC,OR,53,23001.13208,8431.018868,7493.566038
187 - PLEURAL EFFUSION W CC,NV,61,46603.62295,8134.622951,6586.098361
187 - PLEURAL EFFUSION W CC,NE,62,27806.53226,7176.112903,6327.596774
187 - PLEURAL EFFUSION W CC,IA,80,21939.0375,7170.85,6076.5375
187 - PLEURAL EFFUSION W CC,MS,81,26651.22222,6652.802469,5707.395062
187 - PLEURAL EFFUSION W CC,CO,86,36993.23256,8008.523256,6577.011628
187 - PLEURAL EFFUSION W CC,WV,89,20055.39326,7392.921348,6144.988764
187 - PLEURAL EFFUSION W CC,KS,91,28264.69231,6990,6353.032967
187 - PLEURAL EFFUSION W CC,CT,101,28533.32673,9858.435644,8512.50495
187 - PLEURAL EFFUSION W CC,OK,102,26564.27451,7909.813725,6656.039216
187 - PLEURAL EFFUSION W CC,WA,107,31177.95327,8490.299065,6700.859813
187 - PLEURAL EFFUSION W CC,LA,131,28026.31298,7647.59542,6417.221374
187 - PLEURAL EFFUSION W CC,MN,135,23185.97778,8419.496296,7191.711111
187 - PLEURAL EFFUSION W CC,SC,136,30277.17647,7322.441176,6274.779412
187 - PLEURAL EFFUSION W CC,AR,138,21949.57971,6461.101449,5593.173913
187 - PLEURAL EFFUSION W CC,KY,145,26392.42069,7700.275862,6645.172414
187 - PLEURAL EFFUSION W CC,WI,150,22440.08667,7410.106667,6295.606667
187 - PLEURAL EFFUSION W CC,IN,154,24390.98052,7166.62987,6107.402597
187 - PLEURAL EFFUSION W CC,AZ,170,35794.31765,7768.311765,6946.617647
187 - PLEURAL EFFUSION W CC,AL,174,31649.05172,6591.902299,5490.477011
187 - PLEURAL EFFUSION W CC,MO,199,25609.54774,6915.748744,6150.487437
187 - PLEURAL EFFUSION W CC,GA,218,27322.54128,7292.614679,6489.706422
187 - PLEURAL EFFUSION W CC,MD,222,11187.60811,10376.80631,9244.220721
187 - PLEURAL EFFUSION W CC,MA,230,21701.93043,9678.726087,8494.53913
187 - PLEURAL EFFUSION W CC,TN,242,25010.00826,6672.384298,5890.541322
187 - PLEURAL EFFUSION W CC,NC,246,23110.91463,7883.512195,6308.97561
187 - PLEURAL EFFUSION W CC,VA,248,24136.99194,7439.306452,6011.625
187 - PLEURAL EFFUSION W CC,MI,320,20950.22188,8111.475,6815.08125
187 - PLEURAL EFFUSION W CC,NJ,339,63924.33038,8505.855457,7248.536873
187 - PLEURAL EFFUSION W CC,OH,355,25072.07606,7474.616901,6171.2
187 - PLEURAL EFFUSION W CC,PA,448,39312.24777,8246.928571,6369.566964
187 - PLEURAL EFFUSION W CC,IL,456,32494.87281,8034.813596,6557.951754
187 - PLEURAL EFFUSION W CC,NY,505,37686.75248,10313.2,8706.259406
187 - PLEURAL EFFUSION W CC,TX,557,37752.03411,8042.057451,6626.890485
187 - PLEURAL EFFUSION W CC,CA,600,60899.44167,10642.83833,9140.71
187 - PLEURAL EFFUSION W CC,FL,760,38271.07105,7050.071053,6112.496053
188 - PLEURAL EFFUSION W/O CC/MCC,WV,11,14195.90909,4960.636364,3919.363636
188 - PLEURAL EFFUSION W/O CC/MCC,NM,12,27457,6306.75,5576.833333
188 - PLEURAL EFFUSION W/O CC/MCC,OR,13,20041.23077,7419.615385,6290
188 - PLEURAL EFFUSION W/O CC/MCC,DC,14,18074.92857,7010.928571,5267.714286
188 - PLEURAL EFFUSION W/O CC/MCC,NV,15,41060.06667,5602.4,4883.8
188 - PLEURAL EFFUSION W/O CC/MCC,NE,17,19527.41176,5162,4190.647059
188 - PLEURAL EFFUSION W/O CC/MCC,CO,18,39159.88889,6438.111111,5039
188 - PLEURAL EFFUSION W/O CC/MCC,KS,22,20063.90909,5342.318182,3446.545455
188 - PLEURAL EFFUSION W/O CC/MCC,IA,23,17222.3913,5239.826087,4261.130435
188 - PLEURAL EFFUSION W/O CC/MCC,AZ,24,24436.75,5964.75,5170
188 - PLEURAL EFFUSION W/O CC/MCC,MN,25,17434.28,5892.68,4992.76
188 - PLEURAL EFFUSION W/O CC/MCC,CT,26,22775,6858.807692,5898.923077
188 - PLEURAL EFFUSION W/O CC/MCC,OK,28,18605.21429,5455.142857,4658.071429
188 - PLEURAL EFFUSION W/O CC/MCC,MS,29,24698.93103,4979.931034,3824.344828
188 - PLEURAL EFFUSION W/O CC/MCC,WA,30,22445.73333,6263.133333,5143.133333
188 - PLEURAL EFFUSION W/O CC/MCC,MO,32,21688,4547.59375,3822.65625
188 - PLEURAL EFFUSION W/O CC/MCC,WI,35,18874.94286,5732.342857,4344.8
188 - PLEURAL EFFUSION W/O CC/MCC,SC,36,23979.94444,5325.277778,4475.222222
188 - PLEURAL EFFUSION W/O CC/MCC,AR,38,14159.55263,4680.789474,3888.105263
188 - PLEURAL EFFUSION W/O CC/MCC,IN,38,19259.97368,4984.921053,3952.605263
188 - PLEURAL EFFUSION W/O CC/MCC,VA,42,21944.90476,5760.047619,3895.880952
188 - PLEURAL EFFUSION W/O CC/MCC,AL,44,24475.06818,4663.25,3791.977273
188 - PLEURAL EFFUSION W/O CC/MCC,KY,45,20389.02222,5210.177778,4191.844444
188 - PLEURAL EFFUSION W/O CC/MCC,LA,49,23514.18367,5378.55102,4235.836735
188 - PLEURAL EFFUSION W/O CC/MCC,MD,50,7285.82,6725.28,6046.88
188 - PLEURAL EFFUSION W/O CC/MCC,MI,59,15926.9322,6107.372881,4392.389831
188 - PLEURAL EFFUSION W/O CC/MCC,NC,61,17291.4918,5853.459016,4403.311475
188 - PLEURAL EFFUSION W/O CC/MCC,MA,63,17019.36508,7102.873016,5817.015873
188 - PLEURAL EFFUSION W/O CC/MCC,TN,64,20783.20313,4861.53125,3744.953125
188 - PLEURAL EFFUSION W/O CC/MCC,GA,65,19199,5538.630769,4682.830769
188 - PLEURAL EFFUSION W/O CC/MCC,NJ,82,47320.91463,6050.780488,5093.573171
188 - PLEURAL EFFUSION W/O CC/MCC,OH,89,17701.38202,5424.146067,4048.337079
188 - PLEURAL EFFUSION W/O CC/MCC,IL,105,23901.44762,5792.933333,4771.685714
188 - PLEURAL EFFUSION W/O CC/MCC,NY,117,27537.13675,7900.264957,6048.632479
188 - PLEURAL EFFUSION W/O CC/MCC,TX,124,27993.29839,5599.741935,4299.403226
188 - PLEURAL EFFUSION W/O CC/MCC,PA,129,25703.42636,5375.550388,4186.837209
188 - PLEURAL EFFUSION W/O CC/MCC,CA,135,37159.65926,7710.748148,6713.496296
188 - PLEURAL EFFUSION W/O CC/MCC,FL,184,31068.29891,5364.603261,4223.25
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,AK,88,58097.75,12549,11357.79545
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,HI,136,35305.18382,11934.83088,9726.941176
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,DC,159,40639.66038,12884.81761,10281.05031
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,WY,268,25944.81716,9829.462687,8703.623134
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,VT,298,22781.81879,10796.74161,9559.04698
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,UT,335,25858.05373,9241.886567,7511.402985
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,RI,342,38901.54094,10641.51754,9168.280702
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,ND,355,20975.74648,8146.867606,6859.405634
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,SD,388,30241.1366,8682.113402,7588.141753
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,MT,443,23014.37698,8216.724605,7197.431151
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,DE,525,24721.66476,9078.72381,7809.927619
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,NM,529,28457.08507,9608.389414,8412.26087
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,ID,560,24520.275,8773.001786,7665.860714
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,NH,631,25399.28051,8852.725832,7498.787639
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,ME,638,21507.12069,8695.0721,7485.244514
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,NE,823,35681.49575,8764.08384,7222.788578
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,NV,897,59384.73133,9262.104794,7793.299889
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,OR,1019,28618.77331,9675.875368,8508.049068
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,WV,1455,23232.41443,8143.848797,6738.635052
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,IA,1528,27671.89202,8156.547775,6920.022251
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,OK,1606,32954.35367,8490.361768,7245.527397
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,LA,1671,31152.89587,8101.137642,6776.632555
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,MS,1672,33134.78708,7830.557416,6868.101675
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,CO,1705,41792.08094,9111.036364,7632.416422
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,CT,1735,30816.87723,10752.57695,9344.719308
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,AR,1747,26068.00859,7432.627361,6421.366915
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,AZ,1800,40757.66167,9444.481667,8053.776111
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,KS,1886,36588.14316,8105.890774,6868.83298
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,WI,1970,25369.15584,8687.160406,7259.98731
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,MN,2075,27907.4347,9717.328193,8355.243855
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,NJ,2391,72629.78586,9539.894187,8134.897951
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,AL,2421,35273.87278,7414.534903,6202.442379
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,SC,2481,38267.6969,8362.88029,6980.931882
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,MA,2634,18481.33865,10397.5653,9267.105543
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,WA,2968,33627.05559,9347.121631,7956.721698
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,KY,3199,26448.02094,7948.796812,6662.386996
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,MD,3243,20203.82609,18661.33796,17134.91428
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,GA,3648,32820.13487,8335.023575,7268.253289
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,TN,3751,29842.69342,7599.195681,6420.1253
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,IN,3891,27441.82447,8170.337959,7030.694423
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,MO,4290,31859.01002,9713.854079,7082.179254
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,PA,4297,41352.83314,8894.828485,7153.420759
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,NY,4406,35707.87358,10815.67022,9365.599864
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,VA,4531,31052.21585,8296.657029,6747.749945
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,IL,4541,37136.61682,8718.645893,7324.791676
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,OH,5048,30246.60895,8548.704834,7023.418185
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,MI,5132,23440.67537,8985.766952,7656.055144
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,NC,5381,23992.31165,8334.740197,6849.312581
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,FL,6264,47188.25128,8240.212963,7077.596584
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,CA,7065,69342.04982,11453.94423,10289.74919
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,TX,7149,45358.5335,8696.379913,7285.527346
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,AK,155,35741.97419,13155.21935,12125.82581
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,HI,179,32196.40782,11112.59218,9306.793296
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,ND,244,17268.52459,7812.42623,6621.463115
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,ID,264,24936.75,8624.170455,7209.685606
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,DC,276,34910.30435,11419.38043,9206.5
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,WY,280,22938.38571,10592.39286,8929.007143
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,MT,319,17492.82132,7722.257053,6590.749216
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,VT,321,18890.57009,9810.529595,8636.024922
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,SD,332,22873.28916,8419.412651,7308.066265
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,UT,345,23311.4087,8880.034783,6509.675362
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,RI,561,30091.9287,9337.502674,7615.991087
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NM,599,33477.51753,9001.098497,7742.781302
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,DE,650,20104.10154,8833.467692,7395.904615
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NE,734,30148.2139,8039.042234,6565.058583
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,OR,736,24167.3125,9028.64538,7737.084239
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,ME,749,17329.39653,8001.700935,6777.850467
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NH,824,23383.98665,8249.54733,6735.235437
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,CO,879,38042.22639,8416.796359,6898.439135
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NV,885,53692.69944,9014.942373,7497.544633
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,KS,983,31602.07325,7592.072228,6475.314344
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,IA,1269,22394.2632,7336.543735,6187.193065
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,WA,1326,29631.48567,8787.422323,7405.850679
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,MN,1437,21276.54767,8708.031315,7342.218511
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,CT,1670,30327.19701,10314.52515,8660.598802
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,WV,1684,20200.99525,7880.533848,6231.18943
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,WI,1757,23918.80763,8038.07399,6686.126921
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,AZ,1794,37196.64047,8707.396321,7326.475474
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,AR,1884,22441.60191,6906.848726,5876.289278
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,MS,2040,29844.31863,7320.867157,6261.487255
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,OK,2316,28283.20725,7612.851036,6336.547496
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,SC,2350,34980.37915,7770.428085,6346.499149
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,LA,2395,31601.41628,7561.098539,6372.363674
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,MD,2829,12239.72322,11325.24107,10211.46129
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,MO,3136,26607.00925,7637.783482,6451.720344
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,AL,3385,30128.91846,6973.412703,5737.012999
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,VA,3473,26400.6588,7715.432767,6274.061906
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,MA,3825,16775.26222,9604.51085,8325.458301
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,KY,3870,24235.86382,7603.900258,6277.923256
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,GA,4310,28907.16566,7801.744084,6606.30348
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,TN,4378,27572.11581,7050.115806,5969.848789
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,IN,4389,24327.71816,7643.373889,6433.20483
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NJ,4524,69198.00022,9134.340849,7684.034262
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NC,4907,21743.27451,8044.591604,6461.478093
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,PA,5370,37381.95345,8644.291993,6581.916574
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,MI,6226,21329.68342,8396.627851,7093.857854
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,OH,6632,24718.32192,7802.146261,6329.645808
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,IL,6945,33545.26652,8190.426782,6733.219582
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY,7252,35168.06715,10810.90706,9204.487176
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,CA,8747,60361.98217,10696.66148,9492.210244
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,TX,9867,40705.98166,8175.630283,6782.959765
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,FL,11389,43879.23136,7575.030117,6399.292739
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,AK,125,30955.248,10805.44,9787.088
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,HI,143,24219.74825,9613.636364,7665.076923
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,ID,150,17073.92667,6787.12,5550.806667
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,WY,154,18505.44805,7984.876623,6934.298701
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,ND,166,13721.83133,6679.180723,5183.963855
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,VT,184,16457.47826,8030.505435,6946.581522
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,UT,192,17734.8125,6665,5435.880208
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,MT,194,16520.98454,6606.268041,5240.896907
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,SD,268,21270.86567,6614.186567,5539.395522
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,DC,283,29045.04594,9258.862191,7287.314488
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NM,415,26188.16386,7462.438554,6358.542169
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NH,490,20397.37347,6586.414286,5210.089796
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,RI,527,22235.62619,7885.40038,6303.142315
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,DE,528,17013.20833,7317.179924,5727.102273
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,ME,566,14273.85159,6477.551237,5445.265018
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,OR,567,19469.04233,7332.155203,6206.155203
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NE,616,25228.61364,6445.897727,5177.663961
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NV,653,42435.14395,7270.416539,6065.081164
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,CO,691,30667.85818,6585.746744,5342.492041
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,KS,817,23348.99388,5967.631579,4956.933905
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,IA,899,18472.85317,6057.39822,4962.696329
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,WA,1047,25455.23209,7336.083095,6065.313276
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,MN,1081,17631.46438,7244.597595,6106.987974
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,AZ,1277,32403.72592,6945.466719,5758.909945
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,AR,1385,18543.76751,5732.68231,4642.153791
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,WI,1468,19392.73978,6628.010218,5374.644414
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,CT,1547,23707.55721,8338.485456,6965.60892
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,WV,1585,15450.20757,6359.26877,4983.573502
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,MS,1841,25011.02716,5959.717545,4942.927757
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,LA,1908,24070.96751,6310.765199,5111.017296
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,OK,1923,22494.86115,6251.523141,5068.360374
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,SC,2046,28808.88221,6430.994135,5030.091398
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,MO,2474,22057.18472,6276.369846,5224.781326
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,AL,2959,23721.32173,5698.274079,4519.127746
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,KY,3060,19643.01503,6105.679412,4956.142484
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,MD,3148,9562.237611,8856.083863,7809.507942
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,TN,3220,22706.12981,5762.668634,4702.181366
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,VA,3277,20507.61337,6349.408911,4888.983827
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,GA,3306,23424.91712,6372.206897,5252.646098
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,MA,3487,13604.26498,7888.913966,6767.820476
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,IN,3618,20780.6639,6306.181592,5158.577391
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NC,3921,17911.92629,6503.45167,5141.063249
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NJ,4496,56481.77424,7389.57718,5931.700178
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,MI,5200,17178.91115,6842.864615,5618.969423
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,PA,5306,29742.23502,6950.406521,5310.638334
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,OH,5762,19715.87522,6481.626866,5125.175807
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,IL,6087,27125.71398,6772.717595,5389.625267
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY,6194,27572.4175,8892.716338,7464.494995
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,CA,6613,48371.12612,8914.45834,7766.368819
