DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",UT,21,18841.1,6675.57,4782.81
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",ME,28,16315.61,6188.39,5125.46
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",RI,28,23936.54,8348.46,6839.68
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NE,31,24473.16,7587.19,5274.13
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",OR,34,19478.62,7484.88,6310.12
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",WV,46,16371.98,6768.78,4996.63
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",KS,47,31510.53,6338.43,4442.02
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",IA,51,19258.14,6339.57,5173.73
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MS,53,20363.75,6309.6,4950.3
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",OK,55,25157.8,7102.96,5198.67
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",AR,57,19719.28,5556.53,4504.11
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",CO,58,28704.76,6354.09,5305.95
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",CT,61,24635.59,8703.46,6223.59
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",AZ,72,28449.88,7163.44,5501.06
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",WI,73,21475.56,6378.52,5157.93
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",SC,75,30879.65,6422.17,4653.68
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",LA,76,22166.34,6242,5057.92
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MN,78,18316.67,7627.35,5484.76
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",KY,79,21734.54,6154.7,4825.46
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",GA,82,20855.07,5950.22,4906.94
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",WA,83,23615.6,6950.34,5672.51
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",AL,89,25782.9,5507.45,4185.28
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NC,101,23409.07,6792.98,5279.82
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MO,103,22235.24,6056.82,5059.76
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",IN,106,22450.12,6301.34,5088.25
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MD,123,10183.59,9421.79,8388.49
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",VA,127,19639.4,6220.86,4547.51
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",TN,136,23428.49,5911.28,4944.97
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MA,176,17619.19,8316.28,7024.5
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NJ,180,52788.63,7830.75,5909.51
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",OH,191,21868.98,6410.36,4955.95
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",MI,201,17712.12,6835.88,5493.99
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",IL,238,28026.84,6746.61,5395.14
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",PA,274,34888.59,7161.95,5167.83
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",CA,311,50388.51,8937.33,7448.88
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",TX,312,34858.63,6810.41,5167.35
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",NY,325,33398.47,9922.14,7981.34
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",FL,429,38983.39,6259,4919.36
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",CO,14,24651.93,4813.14,3546.43
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",DC,14,22267.64,7608.07,5801.64
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",OR,14,15745.43,6201.57,4983.64
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",IA,15,11966.47,4902.27,3540.53
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",NE,16,18842.5,5296.75,2831.63
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",KS,19,25370.53,4455.89,3472.42
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",WI,19,13510.95,5474,3573.42
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",WV,22,10718.55,5082.23,2931
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",AR,24,15108.92,4334.33,2914.04
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MS,24,16312.38,4416.5,3236.21
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",CT,25,19239.64,6512.76,4459.84
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",SC,25,17849.68,5060.44,3773.52
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",WA,26,17146.58,5516.62,4246.04
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",NC,34,16186.09,5050.21,3470.35
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",LA,35,17986.17,5164.97,3408.46
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MN,35,16826.31,5426.51,4186.31
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",AZ,36,23025.92,5770.58,4094.17
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",OK,36,17675.75,4872.03,3940.44
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",KY,38,16913.13,4955.26,3420.42
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",GA,39,18464.49,5289.46,3646.97
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",TN,39,17199.46,4690.15,3517.36
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",AL,42,24895.83,4201.17,2959.57
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",IN,42,16431.71,4443.21,3350.05
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",VA,45,15955.76,4523.18,3158.36
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MD,47,8492.83,7843.72,6833.51
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MO,53,19390.98,4804.79,3036.55
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MA,68,11402.51,6190.93,4918.87
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",OH,84,16686.24,5218.73,3430.39
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",PA,84,23357.63,5347.25,3444.63
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",NJ,88,37061.32,5698.97,4367.89
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",MI,92,13384.72,5212.17,3602.62
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",IL,105,20719.1,5502.01,3651.18
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",TX,121,27660.81,5245.13,3526.37
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",CA,129,39076.95,7903.64,6301.09
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",NY,154,23893.25,7926.42,6068.84
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",FL,204,29797,4890.22,3645.45
157 - DENTAL & ORAL DISEASES W MCC,AR,12,46603,13664.42,11060.17
157 - DENTAL & ORAL DISEASES W MCC,NE,12,45646.25,11304.17,9964.75
157 - DENTAL & ORAL DISEASES W MCC,KY,16,36025.38,10097.75,8345
157 - DENTAL & ORAL DISEASES W MCC,OK,16,59941.13,12319.38,9487.06
157 - DENTAL & ORAL DISEASES W MCC,KS,18,47756.61,10038.39,9129.72
157 - DENTAL & ORAL DISEASES W MCC,CO,19,57149.58,10376.68,8500.68
157 - DENTAL & ORAL DISEASES W MCC,WI,19,29211.95,12104.79,10115.37
157 - DENTAL & ORAL DISEASES W MCC,IA,20,38302.7,10474.8,8643
157 - DENTAL & ORAL DISEASES W MCC,CT,21,45342.05,14562.57,12798.29
157 - DENTAL & ORAL DISEASES W MCC,MS,25,39608.04,10552.52,9122.36
157 - DENTAL & ORAL DISEASES W MCC,SC,25,73964,19942.88,15972.88
157 - DENTAL & ORAL DISEASES W MCC,AL,26,52632.62,9727.96,9000.46
157 - DENTAL & ORAL DISEASES W MCC,VA,27,35678.67,10536.74,8928.7
157 - DENTAL & ORAL DISEASES W MCC,LA,30,32028.27,10676.83,8793
157 - DENTAL & ORAL DISEASES W MCC,AZ,36,68826.72,14147.97,12852.94
157 - DENTAL & ORAL DISEASES W MCC,MO,36,33252.75,11623.64,9481.33
157 - DENTAL & ORAL DISEASES W MCC,TN,38,50464.92,11094.05,9770.24
157 - DENTAL & ORAL DISEASES W MCC,MN,39,48839.67,14363.13,11861.95
157 - DENTAL & ORAL DISEASES W MCC,WA,39,39847.15,15481.03,11266.97
157 - DENTAL & ORAL DISEASES W MCC,MD,41,22727.41,20954.39,20057.34
157 - DENTAL & ORAL DISEASES W MCC,GA,45,52403.09,11751.98,10991.67
157 - DENTAL & ORAL DISEASES W MCC,IN,45,31419.07,11865.58,9254.07
157 - DENTAL & ORAL DISEASES W MCC,NJ,47,86861.28,13598.17,12006.74
157 - DENTAL & ORAL DISEASES W MCC,MA,49,29483.39,14822.67,12813.41
157 - DENTAL & ORAL DISEASES W MCC,NC,62,33680.68,12003.4,9679.73
157 - DENTAL & ORAL DISEASES W MCC,OH,62,35565.84,12107.61,10313.53
157 - DENTAL & ORAL DISEASES W MCC,MI,67,32005.94,14025.52,9884.96
157 - DENTAL & ORAL DISEASES W MCC,PA,71,60834.63,13564.87,10473.48
157 - DENTAL & ORAL DISEASES W MCC,IL,72,57252.5,13309.79,11646.28
157 - DENTAL & ORAL DISEASES W MCC,NY,97,46828.69,16707.07,13663.62
157 - DENTAL & ORAL DISEASES W MCC,TX,112,55142,11214.84,9553.9
157 - DENTAL & ORAL DISEASES W MCC,FL,121,47421.9,9999.31,8776.21
157 - DENTAL & ORAL DISEASES W MCC,CA,141,83373.98,16912.46,13641.87
158 - DENTAL & ORAL DISEASES W CC,DC,11,24042.45,8751.36,6552.64
158 - DENTAL & ORAL DISEASES W CC,DE,12,20033.83,6303.5,5198.75
158 - DENTAL & ORAL DISEASES W CC,NH,12,15563.58,6002,5241.92
158 - DENTAL & ORAL DISEASES W CC,RI,13,20319.62,9008.69,5130.15
158 - DENTAL & ORAL DISEASES W CC,ME,14,27675.5,9883.14,7186.93
158 - DENTAL & ORAL DISEASES W CC,MT,14,30026.57,8993.71,6716.93
158 - DENTAL & ORAL DISEASES W CC,OR,20,16122.15,6791.55,5767.35
158 - DENTAL & ORAL DISEASES W CC,NV,21,36745.14,9088.9,5094.14
158 - DENTAL & ORAL DISEASES W CC,WV,21,17877.95,6368.29,4981.14
158 - DENTAL & ORAL DISEASES W CC,NE,24,20745.04,6593.5,4632
158 - DENTAL & ORAL DISEASES W CC,IA,25,19870.2,6773.96,5017.44
158 - DENTAL & ORAL DISEASES W CC,LA,25,17124.6,6481.76,4353.24
158 - DENTAL & ORAL DISEASES W CC,AR,27,18817.89,5492.89,4262.89
158 - DENTAL & ORAL DISEASES W CC,CO,27,29805.93,6626,4975.07
158 - DENTAL & ORAL DISEASES W CC,MS,27,18655.81,5866.52,4866.41
158 - DENTAL & ORAL DISEASES W CC,OK,29,19311.52,5985.38,4841.52
158 - DENTAL & ORAL DISEASES W CC,KS,30,31060.4,6365.53,4675.27
158 - DENTAL & ORAL DISEASES W CC,WA,43,25818.88,7273.14,5995.44
158 - DENTAL & ORAL DISEASES W CC,KY,45,17199.56,5945.76,4795.42
158 - DENTAL & ORAL DISEASES W CC,AL,47,26492.7,5386.21,4329.74
158 - DENTAL & ORAL DISEASES W CC,SC,49,27548.37,6023.04,4745.06
158 - DENTAL & ORAL DISEASES W CC,WI,49,22033.22,6500.37,4798.43
158 - DENTAL & ORAL DISEASES W CC,MN,53,23083.23,7360.83,5465.92
158 - DENTAL & ORAL DISEASES W CC,AZ,58,25639.31,6667.43,5385.05
158 - DENTAL & ORAL DISEASES W CC,GA,63,21013.32,6133.97,4802.94
158 - DENTAL & ORAL DISEASES W CC,TN,63,19394.32,5574.48,4375.06
158 - DENTAL & ORAL DISEASES W CC,CT,67,23311.15,8843.81,6386.21
158 - DENTAL & ORAL DISEASES W CC,IN,71,21287.65,6071.24,4580.85
158 - DENTAL & ORAL DISEASES W CC,MO,73,22272.63,6297.05,5126.56
158 - DENTAL & ORAL DISEASES W CC,VA,77,25948.49,6380.58,4671.38
158 - DENTAL & ORAL DISEASES W CC,NC,83,22772.22,6723.23,4811.66
158 - DENTAL & ORAL DISEASES W CC,MA,94,19333.66,8116.47,6687.79
158 - DENTAL & ORAL DISEASES W CC,MD,104,11002.99,10221.64,8774.76
158 - DENTAL & ORAL DISEASES W CC,NJ,106,47468.19,9606.24,5329.04
158 - DENTAL & ORAL DISEASES W CC,OH,115,22547.74,7143.74,5318.89
158 - DENTAL & ORAL DISEASES W CC,MI,140,17501.5,6905.21,5408.88
158 - DENTAL & ORAL DISEASES W CC,IL,157,27955.83,7056.6,5400.15
158 - DENTAL & ORAL DISEASES W CC,PA,160,28260.27,7260.22,4786.36
158 - DENTAL & ORAL DISEASES W CC,NY,162,30505.85,9613.3,7833.95
158 - DENTAL & ORAL DISEASES W CC,TX,216,29672.99,6730.21,5215.37
158 - DENTAL & ORAL DISEASES W CC,CA,238,48708.04,8879.54,7239.13
158 - DENTAL & ORAL DISEASES W CC,FL,295,34674.41,6157.47,4871.6
159 - DENTAL & ORAL DISEASES W/O CC/MCC,MN,11,15048.82,4656.91,3475.82
159 - DENTAL & ORAL DISEASES W/O CC/MCC,GA,12,22519.42,5050.08,3876.83
159 - DENTAL & ORAL DISEASES W/O CC/MCC,LA,12,21495.17,5391.83,3689.42
159 - DENTAL & ORAL DISEASES W/O CC/MCC,CO,13,26828.54,4633.92,3466.54
159 - DENTAL & ORAL DISEASES W/O CC/MCC,CT,13,17441.85,5866.46,4791.46
159 - DENTAL & ORAL DISEASES W/O CC/MCC,KY,13,11464.62,3896.92,2190.15
159 - DENTAL & ORAL DISEASES W/O CC/MCC,SC,14,20484.43,4395.43,3230.57
159 - DENTAL & ORAL DISEASES W/O CC/MCC,WI,14,16875.29,4802.36,3624.29
159 - DENTAL & ORAL DISEASES W/O CC/MCC,MS,16,26236.19,4330.63,2890.44
159 - DENTAL & ORAL DISEASES W/O CC/MCC,VA,16,14744.94,4292.38,2852.44
159 - DENTAL & ORAL DISEASES W/O CC/MCC,AL,18,20230.72,3662.89,2830.22
159 - DENTAL & ORAL DISEASES W/O CC/MCC,TN,20,17923.2,4881.05,3994.55
159 - DENTAL & ORAL DISEASES W/O CC/MCC,IN,21,14021.62,4268.62,2777
159 - DENTAL & ORAL DISEASES W/O CC/MCC,MO,21,16286.67,4833.38,3584.43
159 - DENTAL & ORAL DISEASES W/O CC/MCC,NJ,21,32139.43,5187.95,3841.71
159 - DENTAL & ORAL DISEASES W/O CC/MCC,AZ,22,25754.77,5752.14,4235.41
159 - DENTAL & ORAL DISEASES W/O CC/MCC,MD,25,5383.52,4979.4,3976.68
159 - DENTAL & ORAL DISEASES W/O CC/MCC,OH,25,17359.84,4736.16,3324.72
159 - DENTAL & ORAL DISEASES W/O CC/MCC,IL,27,20886.93,5246.3,3669
159 - DENTAL & ORAL DISEASES W/O CC/MCC,NC,30,16506.03,4806.87,3282.87
159 - DENTAL & ORAL DISEASES W/O CC/MCC,MA,35,11683.11,6219.09,4588.17
159 - DENTAL & ORAL DISEASES W/O CC/MCC,MI,57,15482.51,5533.61,3534.44
159 - DENTAL & ORAL DISEASES W/O CC/MCC,TX,63,22730.79,5365.68,3534.7
159 - DENTAL & ORAL DISEASES W/O CC/MCC,PA,75,21859.97,5201.77,3292.59
159 - DENTAL & ORAL DISEASES W/O CC/MCC,NY,81,18685.26,7158.31,5553.99
159 - DENTAL & ORAL DISEASES W/O CC/MCC,CA,85,40356.12,7511.39,5479.49
159 - DENTAL & ORAL DISEASES W/O CC/MCC,FL,98,27577.44,4727.21,3291.09
163 - MAJOR CHEST PROCEDURES W MCC,ID,21,121874.14,40357.95,35008.62
163 - MAJOR CHEST PROCEDURES W MCC,HI,25,119444.24,50906.88,40916.44
163 - MAJOR CHEST PROCEDURES W MCC,AK,26,247445.58,61658.46,60473.85
163 - MAJOR CHEST PROCEDURES W MCC,RI,26,118123.77,36188.62,33914.88
163 - MAJOR CHEST PROCEDURES W MCC,DE,35,93557.17,33898.69,32072.89
163 - MAJOR CHEST PROCEDURES W MCC,NM,42,136741.24,33814.02,32455.57
163 - MAJOR CHEST PROCEDURES W MCC,SD,42,110174.07,36945.1,29826.93
163 - MAJOR CHEST PROCEDURES W MCC,DC,49,186405.9,51620.98,41289.67
163 - MAJOR CHEST PROCEDURES W MCC,ND,49,84211.08,34449.63,32166.98
163 - MAJOR CHEST PROCEDURES W MCC,UT,49,111112.71,32646.51,30408.57
163 - MAJOR CHEST PROCEDURES W MCC,ME,50,78321.22,29643.06,27725.18
163 - MAJOR CHEST PROCEDURES W MCC,NH,52,99318.12,37157.9,34318.02
163 - MAJOR CHEST PROCEDURES W MCC,MT,63,86396.59,32692.48,30905.13
163 - MAJOR CHEST PROCEDURES W MCC,NE,79,118621.44,34947.84,32298.35
163 - MAJOR CHEST PROCEDURES W MCC,WV,91,101474.21,33760.85,28991.53
163 - MAJOR CHEST PROCEDURES W MCC,NV,95,238906.85,35871.34,32296.99
163 - MAJOR CHEST PROCEDURES W MCC,KS,108,123417.89,30639.24,28589.44
163 - MAJOR CHEST PROCEDURES W MCC,MS,116,151340.31,31581.36,29280.05
163 - MAJOR CHEST PROCEDURES W MCC,OR,123,105584.39,40379.18,37997.1
163 - MAJOR CHEST PROCEDURES W MCC,CT,124,124422.73,40746.48,35581.81
163 - MAJOR CHEST PROCEDURES W MCC,IA,127,104318.65,34603.28,28321.2
163 - MAJOR CHEST PROCEDURES W MCC,CO,134,164779.71,37121,32704.16
163 - MAJOR CHEST PROCEDURES W MCC,AR,146,108954.46,29339.03,27493.17
163 - MAJOR CHEST PROCEDURES W MCC,OK,159,141096.6,35442.3,28927.72
163 - MAJOR CHEST PROCEDURES W MCC,WA,162,163160.9,44710.46,39189.8
163 - MAJOR CHEST PROCEDURES W MCC,MN,176,95971.43,39560.68,34884.3
163 - MAJOR CHEST PROCEDURES W MCC,LA,182,130550.64,29536.6,25819.92
163 - MAJOR CHEST PROCEDURES W MCC,SC,192,155654.09,33297.48,29599.11
163 - MAJOR CHEST PROCEDURES W MCC,WI,199,113189.93,40360.28,32816.25
163 - MAJOR CHEST PROCEDURES W MCC,KY,233,111738.03,32886.08,28902.29
163 - MAJOR CHEST PROCEDURES W MCC,AZ,240,163688.1,35474.07,32523.01
163 - MAJOR CHEST PROCEDURES W MCC,AL,244,130242.39,28293.83,25588.73
163 - MAJOR CHEST PROCEDURES W MCC,MD,256,45868.35,42741.82,40275.56
163 - MAJOR CHEST PROCEDURES W MCC,VA,268,132834.52,37880.23,29876.63
163 - MAJOR CHEST PROCEDURES W MCC,IN,290,134266.46,34397.81,30758.93
163 - MAJOR CHEST PROCEDURES W MCC,GA,342,134460.82,33261.62,30210.19
163 - MAJOR CHEST PROCEDURES W MCC,NJ,348,216222.1,37837.47,34455.66
163 - MAJOR CHEST PROCEDURES W MCC,PA,350,171810.54,35196.05,29939.95
163 - MAJOR CHEST PROCEDURES W MCC,TN,351,128094.07,30906.79,27148.93
163 - MAJOR CHEST PROCEDURES W MCC,MO,352,121037.2,31356.86,28883.71
163 - MAJOR CHEST PROCEDURES W MCC,NC,366,119499.95,37607.25,32835.33
163 - MAJOR CHEST PROCEDURES W MCC,MI,371,98660.12,35833.51,31452.03
163 - MAJOR CHEST PROCEDURES W MCC,MA,403,128201.37,44459.34,40856.34
163 - MAJOR CHEST PROCEDURES W MCC,IL,456,152872.43,38779.48,32999.21
163 - MAJOR CHEST PROCEDURES W MCC,OH,485,132635,33773.54,29123.07
163 - MAJOR CHEST PROCEDURES W MCC,NY,514,161071.46,47087.67,41604.1
163 - MAJOR CHEST PROCEDURES W MCC,FL,712,188596.87,32523.68,28580.31
163 - MAJOR CHEST PROCEDURES W MCC,TX,820,175272.95,34179.46,30074.13
163 - MAJOR CHEST PROCEDURES W MCC,CA,857,296518.76,48191.42,44596.65
164 - MAJOR CHEST PROCEDURES W CC,VT,30,42633.93,24278.6,17759
164 - MAJOR CHEST PROCEDURES W CC,HI,37,73995.62,29925.73,20289.65
164 - MAJOR CHEST PROCEDURES W CC,NM,43,72495.77,19161.21,17388.86
164 - MAJOR CHEST PROCEDURES W CC,SD,45,61810.16,16972.87,15645.24
164 - MAJOR CHEST PROCEDURES W CC,RI,51,68821.9,21397.06,18724.18
164 - MAJOR CHEST PROCEDURES W CC,DE,55,45325.85,17808.62,15542.24
164 - MAJOR CHEST PROCEDURES W CC,ID,59,67710.22,17884.8,15289.19
164 - MAJOR CHEST PROCEDURES W CC,UT,70,67775.43,20606.34,15870.93
164 - MAJOR CHEST PROCEDURES W CC,MT,74,49228.23,16354.97,15027.2
164 - MAJOR CHEST PROCEDURES W CC,ND,74,47970.42,16820.95,15508.8
164 - MAJOR CHEST PROCEDURES W CC,DC,87,82751.05,23495.08,18472.76
164 - MAJOR CHEST PROCEDURES W CC,NV,93,121040.73,19155.38,15535.11
164 - MAJOR CHEST PROCEDURES W CC,WV,93,58380.33,17929.45,14726.39
164 - MAJOR CHEST PROCEDURES W CC,NH,104,56871.64,19670.66,17972.43
164 - MAJOR CHEST PROCEDURES W CC,ME,142,43199.69,16656.31,14224.14
164 - MAJOR CHEST PROCEDURES W CC,KS,148,67924.01,15885.34,14177.95
164 - MAJOR CHEST PROCEDURES W CC,MS,148,70567.34,15955.63,13730.01
164 - MAJOR CHEST PROCEDURES W CC,OR,161,62657.01,20976.59,16795.3
164 - MAJOR CHEST PROCEDURES W CC,NE,162,68107.36,18584.21,15244.43
164 - MAJOR CHEST PROCEDURES W CC,IA,169,63105.01,17563.88,15219.6
164 - MAJOR CHEST PROCEDURES W CC,CO,189,99487.9,19385.9,16935.92
164 - MAJOR CHEST PROCEDURES W CC,AR,199,61609.57,16414.45,12894.27
164 - MAJOR CHEST PROCEDURES W CC,LA,201,68393.61,16631.86,13876.22
164 - MAJOR CHEST PROCEDURES W CC,OK,210,81520.29,16523.28,14473.2
164 - MAJOR CHEST PROCEDURES W CC,CT,243,72826.77,22029.98,18967.81
164 - MAJOR CHEST PROCEDURES W CC,AZ,267,93951.99,19531.31,16048.72
164 - MAJOR CHEST PROCEDURES W CC,WA,322,87896.11,22514,17908.7
164 - MAJOR CHEST PROCEDURES W CC,SC,326,98377.62,18791.76,14792.81
164 - MAJOR CHEST PROCEDURES W CC,AL,333,67891.6,15051.35,13096.42
164 - MAJOR CHEST PROCEDURES W CC,WI,342,63942.74,19293.25,16003.71
164 - MAJOR CHEST PROCEDURES W CC,KY,355,67432.43,16975.57,14742.63
164 - MAJOR CHEST PROCEDURES W CC,IN,366,80402.3,17812.7,14884.32
164 - MAJOR CHEST PROCEDURES W CC,MD,424,27786.29,25787.17,23228.72
164 - MAJOR CHEST PROCEDURES W CC,MN,457,52617.33,21545.34,18839.4
164 - MAJOR CHEST PROCEDURES W CC,MO,460,65091.71,16607.9,14378.65
164 - MAJOR CHEST PROCEDURES W CC,GA,464,66373.66,17178.08,14397.71
164 - MAJOR CHEST PROCEDURES W CC,VA,470,74836.23,17837.56,14603.14
164 - MAJOR CHEST PROCEDURES W CC,TN,480,72839.73,16147.12,13900.45
164 - MAJOR CHEST PROCEDURES W CC,MI,490,57291.45,19475.08,16747.2
164 - MAJOR CHEST PROCEDURES W CC,NJ,508,99641.6,20122.54,17631.6
164 - MAJOR CHEST PROCEDURES W CC,OH,589,80636.96,18708.18,15544.69
164 - MAJOR CHEST PROCEDURES W CC,NC,630,68461.56,19131.11,16029.1
164 - MAJOR CHEST PROCEDURES W CC,MA,663,63028.69,23406.31,20457.74
164 - MAJOR CHEST PROCEDURES W CC,IL,728,82981.15,20283.66,16085.65
164 - MAJOR CHEST PROCEDURES W CC,PA,765,97957.03,19346.55,15666.84
164 - MAJOR CHEST PROCEDURES W CC,TX,867,99839.55,18483.63,14729.89
164 - MAJOR CHEST PROCEDURES W CC,NY,1026,81987.96,24210.17,20523.33
164 - MAJOR CHEST PROCEDURES W CC,FL,1096,113977.19,16578.76,14101.67
164 - MAJOR CHEST PROCEDURES W CC,CA,1257,151254.18,24761.16,21472.94
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,SD,13,47630.31,12231,10970.23
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,HI,15,57559.47,19056.27,15124.47
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,VT,19,31727.32,16845,13040.47
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,NM,21,49988.67,14652.9,10969.81
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,RI,27,44361.26,14618.96,13147.37
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,ND,34,37910,12937,9799.29
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,MT,43,36921.93,12373.35,10326.26
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,ID,52,46183.48,13350.94,10104.35
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,UT,53,54296.13,13695.96,10447.75
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,NV,54,74077.91,13128.13,11344.69
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,NE,62,56600.29,12900.02,11162.34
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,MS,66,48550.62,11418.85,9508.94
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,WV,66,40396.59,13617.27,10395.21
