,DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments,Percent Actually Paid,Percent Covered by Medicare
3656,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",AZ,45,59720.93,13579.6,11931.36,0.7726157312017746,0.1997852344228397
3657,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",VA,48,76424.19,18595.52,15592.98,0.7566801820209019,0.20403199562860921
3658,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",WI,48,56718.17,17522.1,11762.23,0.6910672541092211,0.20738028042865275
3659,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",MD,49,28441.02,26220.96,25162.96,0.07805838187238015,0.8847418271215307
3660,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",MO,49,48835.31,13171.41,10639.47,0.7302892108189749,0.21786428713158573
3661,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",NC,49,44880.08,14709.02,11293.94,0.672259496863642,0.2516470558876009
3662,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",TN,54,50855.81,12562.7,10445.5,0.7529741439571999,0.20539442789329282
3663,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",NJ,55,94966.18,19122.87,14236.64,0.7986349456195879,0.14991273735555122
3664,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",MN,58,43899.98,16871.88,12076.4,0.6156745401706334,0.2750889635940608
3665,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",MA,78,43989.22,19089.38,16762.04,0.5660441353586174,0.3810488115042731
3666,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",OH,93,72232.15,17130.78,14270.19,0.7628371853807481,0.19756008924004065
3667,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",IL,111,84385.1,21424.62,17087.91,0.7461089694744689,0.2024991378809766
3668,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",MI,112,39279.54,14487.21,12669.74,0.6311766889327116,0.3225531663558178
3669,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",NY,143,64034.99,19677.75,15561.35,0.6927031611935912,0.24301323385855142
3670,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",PA,147,98832.33,16971.16,12907.28,0.8282833157935262,0.13059775075625557
3671,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",TX,153,83257.16,14829.59,12396.71,0.8218821059954484,0.1488966234255408
3672,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",FL,156,96744.76,14021.54,11703.02,0.8550666723448381,0.12096799868023861
3673,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",CA,170,113573.52,21689.8,18172.61,0.8090241457691898,0.16000745596332666
3674,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",OK,11,57741.64,8899.18,6415.27,0.8458793342205037,0.11110300989026291
3675,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",AR,12,28170.08,7301.83,5992.5,0.7407948433231286,0.2127257004594946
3676,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",CO,12,35043.75,7540.83,6282.92,0.7848166934189406,0.17928789013732835
3677,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",OR,12,27248.33,9210.08,7752.75,0.6619946983906904,0.28452202391853004
3678,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",NE,13,34666.85,9949.77,4697.92,0.7129889216932026,0.13551620640467768
3679,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",IA,17,34895.47,7854.88,6550.76,0.7749025876424648,0.18772522622563903
3680,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",CT,18,33611.22,10682.94,8298.94,0.682161492501611,0.2469098116640812
3681,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",KY,18,39089.22,8715.0,7363.44,0.7770485059563736,0.18837520932881238
3682,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MN,19,28493.42,9074.53,6274.89,0.6815219092688768,0.22022242328228767
3683,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",WA,19,45572.68,13510.42,7245.16,0.7035412444473312,0.15898033646474158
3684,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",WI,20,30885.05,8731.3,5896.4,0.7172968798820142,0.19091437443034737
3685,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",IN,21,32567.62,7678.57,5243.95,0.7642268609127717,0.16101729263606
3686,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",KS,21,44269.52,7323.62,5516.14,0.8345674405324476,0.12460356470998558
3687,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",GA,22,32626.55,8010.55,6195.59,0.7544775650505493,0.18989411997284422
3688,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",LA,23,37012.09,7761.78,5760.13,0.7902906860974347,0.1556283365786693
3689,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MO,23,34960.3,7774.78,5877.22,0.7776111761054683,0.16811125762650778
3690,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",TN,23,37308.87,7270.26,5229.48,0.8051332029085845,0.14016720420639917
3691,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",AZ,25,53430.08,8360.92,6838.08,0.8435166108678857,0.12798184094053386
3692,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",NJ,25,53072.68,9242.16,6731.16,0.8258584265953783,0.12682909549696755
3693,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",VA,30,44263.53,9603.6,7442.7,0.7830358310780907,0.1681451976378748
3694,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",SC,31,42462.84,8663.32,6751.71,0.7959787899254972,0.15900278926232914
3695,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MD,34,16266.5,15140.65,13213.44,0.06921279931146838,0.8123099621922356
3696,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",NC,38,34353.11,8812.84,5801.13,0.7434631100357435,0.16886768039341998
3697,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MA,43,40778.26,10721.28,8988.56,0.7370834361250334,0.22042529524310256
3698,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MI,45,29942.27,8810.44,6612.13,0.705752436271532,0.22082928248259068
3699,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",OH,45,42585.47,8926.82,7012.07,0.7903787371608204,0.16465874393308327
3700,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",IL,57,46082.75,9186.14,7180.18,0.8006598998540669,0.155810579880758
3701,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",AL,62,40333.02,7864.29,5368.53,0.8050160885547375,0.1331050836262695
3702,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",PA,84,60219.06,10454.87,6727.56,0.8263860312665126,0.11171811715426977
3703,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",FL,85,63694.91,8190.8,5778.44,0.8714057371303295,0.09072059290137939
3704,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",TX,86,50276.86,8551.14,6527.84,0.8299189726645618,0.12983786179168708
3705,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",NY,88,39541.65,11354.5,8883.08,0.7128470865530396,0.22465122219229597
3706,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",CA,108,68903.81,12860.77,9365.0,0.8133518306172038,0.13591410982934035
3707,135 - SINUS & MASTOID PROCEDURES W CC/MCC,NC,11,56641.55,13758.55,9983.64,0.7570943944860266,0.17626000700898897
3708,135 - SINUS & MASTOID PROCEDURES W CC/MCC,PA,13,101477.38,19093.23,15225.69,0.811847428461397,0.15004023556776888
3709,135 - SINUS & MASTOID PROCEDURES W CC/MCC,TX,17,132839.29,17780.71,14949.71,0.8661487124780628,0.11253982161452382
3710,135 - SINUS & MASTOID PROCEDURES W CC/MCC,FL,23,95436.39,12686.87,10909.35,0.8670646490295788,0.11431017036583216
3711,135 - SINUS & MASTOID PROCEDURES W CC/MCC,CA,28,137891.18,21883.75,19933.68,0.8412969560489656,0.14456095016374507
3712,136 - SINUS & MASTOID PROCEDURES W/O CC/MCC,FL,11,54433.55,9213.18,7721.0,0.8307444581512688,0.14184266872177176
3713,136 - SINUS & MASTOID PROCEDURES W/O CC/MCC,CA,18,84038.11,13858.89,10048.89,0.8350880332744275,0.1195753926403152
3714,137 - MOUTH PROCEDURES W CC/MCC,CT,11,43832.0,15977.55,10040.09,0.6354820678956014,0.2290584504471619
3715,137 - MOUTH PROCEDURES W CC/MCC,MD,11,10607.27,9922.18,8226.55,0.06458683525544275,0.7755577071197395
3716,137 - MOUTH PROCEDURES W CC/MCC,MS,11,27664.82,8517.55,6542.09,0.6921161966714405,0.23647686845603913
3717,137 - MOUTH PROCEDURES W CC/MCC,IA,12,25089.42,9836.08,8765.0,0.6079590520625825,0.34935044333428195
3718,137 - MOUTH PROCEDURES W CC/MCC,CO,13,50110.23,10638.15,8471.69,0.7877050255007809,0.16906108792555932
3719,137 - MOUTH PROCEDURES W CC/MCC,OK,13,37218.15,11253.38,8546.38,0.6976373086786958,0.22962936094351813
3720,137 - MOUTH PROCEDURES W CC/MCC,IN,14,38393.64,10214.21,8598.79,0.733960885188276,0.22396391694040996
3721,137 - MOUTH PROCEDURES W CC/MCC,TN,14,46388.43,9634.57,8403.36,0.792306616110957,0.1811520674444037
3722,137 - MOUTH PROCEDURES W CC/MCC,AZ,15,51913.73,11656.27,9183.33,0.7754684550695934,0.17689597722991585
3723,137 - MOUTH PROCEDURES W CC/MCC,GA,15,31423.33,11356.0,9192.67,0.6386124576866933,0.29254283362075245
3724,137 - MOUTH PROCEDURES W CC/MCC,AL,16,53181.75,9603.5,7541.13,0.8194211360100034,0.14179920743488134
3725,137 - MOUTH PROCEDURES W CC/MCC,NC,18,68733.94,17622.33,14972.39,0.743615308536074,0.2178311035276022
3726,137 - MOUTH PROCEDURES W CC/MCC,NJ,18,54862.33,12647.39,11016.72,0.7694704180445855,0.2008066372682312
3727,137 - MOUTH PROCEDURES W CC/MCC,MA,19,25132.05,14545.84,12848.21,0.42122349748627747,0.511228093211656
3728,137 - MOUTH PROCEDURES W CC/MCC,WI,19,31819.26,10548.74,8985.84,0.6684794052407252,0.28240254487376515
3729,137 - MOUTH PROCEDURES W CC/MCC,MO,21,38967.81,10684.1,8102.33,0.725822415988992,0.20792366827902314
3730,137 - MOUTH PROCEDURES W CC/MCC,SC,22,51204.18,10957.95,8410.27,0.7859950105635907,0.16424967649125521
3731,137 - MOUTH PROCEDURES W CC/MCC,MN,23,28546.17,12373.52,10702.87,0.566543602872119,0.374931908553757
3732,137 - MOUTH PROCEDURES W CC/MCC,VA,28,30746.5,9511.71,7799.89,0.6906408859544989,0.2536838339323175
3733,137 - MOUTH PROCEDURES W CC/MCC,OH,33,58703.21,12818.88,10193.0,0.7816323843278759,0.1736361606120006
3734,137 - MOUTH PROCEDURES W CC/MCC,IL,35,40509.34,10231.11,8827.8,0.7474382451059435,0.21792011422550947
3735,137 - MOUTH PROCEDURES W CC/MCC,MI,40,24269.83,10739.7,9336.83,0.5574876297032159,0.3847093284130956
3736,137 - MOUTH PROCEDURES W CC/MCC,NY,44,45560.57,16567.43,12353.0,0.6363647338038132,0.27113357010239336
3737,137 - MOUTH PROCEDURES W CC/MCC,PA,49,56870.59,12114.57,9376.02,0.7869800541896963,0.16486588234797636
3738,137 - MOUTH PROCEDURES W CC/MCC,CA,59,102465.0,14879.78,13076.8,0.8547818279412482,0.12762211486849168
3739,137 - MOUTH PROCEDURES W CC/MCC,TX,59,51191.17,10484.54,8736.14,0.7951885061427586,0.17065716606985148
3740,137 - MOUTH PROCEDURES W CC/MCC,FL,62,68416.82,9845.03,8231.73,0.8561021982606032,0.12031734301594255
3741,138 - MOUTH PROCEDURES W/O CC/MCC,AL,11,32022.45,5348.45,3872.18,0.8329781137920428,0.12092079150720822
3742,138 - MOUTH PROCEDURES W/O CC/MCC,AZ,11,29606.09,7244.91,5647.64,0.7552898744819055,0.19075940119076853
3743,138 - MOUTH PROCEDURES W/O CC/MCC,IN,11,27228.36,6140.18,4717.18,0.7744932122243132,0.1732451017982721
3744,138 - MOUTH PROCEDURES W/O CC/MCC,LA,11,27398.82,8884.91,3752.0,0.6757192463033079,0.1369402039941866
3745,138 - MOUTH PROCEDURES W/O CC/MCC,MD,11,11777.64,10872.64,9714.45,0.07684052153062923,0.8248214413074267
3746,138 - MOUTH PROCEDURES W/O CC/MCC,MI,12,17292.25,7494.08,4838.17,0.5666220416660643,0.2797883444895835
3747,138 - MOUTH PROCEDURES W/O CC/MCC,NC,12,18303.92,8507.42,4739.75,0.5352132220857608,0.2589472637555234
3748,138 - MOUTH PROCEDURES W/O CC/MCC,OH,12,28606.5,6566.33,4721.92,0.7704602100921119,0.16506458322409243
3749,138 - MOUTH PROCEDURES W/O CC/MCC,TN,12,25248.0,7338.42,4405.5,0.7093464828897339,0.17448906844106463
3750,138 - MOUTH PROCEDURES W/O CC/MCC,MA,13,31349.38,8979.69,7365.92,0.7135608423515872,0.23496222253837237
3751,138 - MOUTH PROCEDURES W/O CC/MCC,IL,14,43163.57,6741.43,5247.64,0.8438166722539401,0.12157567133580471
3752,138 - MOUTH PROCEDURES W/O CC/MCC,NJ,14,41285.29,7302.71,5792.29,0.8231159330599349,0.14029912348926216
3753,138 - MOUTH PROCEDURES W/O CC/MCC,PA,15,47222.93,7860.07,5653.93,0.8335539535560373,0.11972848783419411
3754,138 - MOUTH PROCEDURES W/O CC/MCC,MO,18,26080.61,6119.44,4789.17,0.7653643837318223,0.18362952400269777
3755,138 - MOUTH PROCEDURES W/O CC/MCC,NY,32,31960.31,10475.63,8113.66,0.6722300253032589,0.2538667491022459
3756,138 - MOUTH PROCEDURES W/O CC/MCC,TX,32,32911.28,6939.25,5047.56,0.7891528375681529,0.15336869304384396
3757,138 - MOUTH PROCEDURES W/O CC/MCC,FL,33,39737.94,6070.61,4615.24,0.8472339029149473,0.11614190368197243
3758,138 - MOUTH PROCEDURES W/O CC/MCC,CA,35,54482.54,10987.03,8434.09,0.7983385135861875,0.15480353889521303
3759,139 - SALIVARY GLAND PROCEDURES,DE,13,11543.54,7623.23,6189.31,0.33961072599913034,0.5361708799900203
3760,139 - SALIVARY GLAND PROCEDURES,MN,13,27537.62,8781.54,7188.92,0.6811075176431368,0.26105814518466014
3761,139 - SALIVARY GLAND PROCEDURES,NC,13,30649.0,7772.92,5832.15,0.746389115468694,0.1902884270286143
3762,139 - SALIVARY GLAND PROCEDURES,PA,17,49739.12,7731.12,5911.88,0.84456661074824,0.11885775220792004
3763,139 - SALIVARY GLAND PROCEDURES,TX,19,51705.47,6947.63,5377.05,0.8656306576460866,0.10399383276082783
3764,139 - SALIVARY GLAND PROCEDURES,NY,23,50245.57,15429.87,11619.83,0.6929108377116628,0.23126078577673614
3765,139 - SALIVARY GLAND PROCEDURES,FL,24,61026.5,7583.46,4983.54,0.8757349675960443,0.08166190097744422
3766,139 - SALIVARY GLAND PROCEDURES,CA,40,65585.13,10941.68,8401.58,0.8331682806758178,0.12810190358698686
3767,139 - SALIVARY GLAND PROCEDURES,MA,41,26705.49,9740.9,7918.83,0.6352472843598826,0.2965244225063835
3768,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",OK,11,85277.18,15246.55,12877.0,0.8212118411983135,0.15100170995335446
3769,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",OR,11,51109.18,18746.18,17386.45,0.633213054875856,0.3401825268963423
3770,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",AR,12,41975.83,10487.83,9267.33,0.750145976863352,0.22077776663379853
3771,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",MS,12,17687.25,10622.58,9853.92,0.39942161726667513,0.5571199592927109
3772,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",MN,13,34164.69,14675.0,13189.15,0.5704629545884947,0.38604623662617743
3773,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",WA,13,68802.38,19511.92,12952.77,0.7164063219906056,0.18826049331433012
3774,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",AZ,15,60582.07,15570.2,12697.53,0.742989963862245,0.2095922110287747
3775,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",KY,15,39019.07,12645.6,11324.0,0.675912316721029,0.2902170656553321
3776,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",MD,17,34827.88,32098.47,31349.06,0.07836853693075767,0.9001139317121801
3777,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",MO,17,29064.65,12099.71,11422.71,0.5836966899653016,0.39301040955249755
3778,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",SC,17,61371.94,16417.18,9561.47,0.7324969684842942,0.15579546613647863
3779,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",AL,21,60350.62,11768.29,9745.9,0.8050013404998988,0.1614879847133302
3780,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",CT,21,48392.0,17225.14,14714.62,0.6440498429492478,0.30407133410481074
3781,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",OH,23,53774.74,15018.35,11005.39,0.720717385151467,0.20465724241530503
3782,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",VA,23,46760.35,13457.91,10062.7,0.7121939848611056,0.2151972771803462
3783,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",TN,24,59987.79,13905.21,12595.0,0.7681993285633627,0.20995939340322423
3784,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",IN,25,39854.08,11621.96,10843.2,0.7083871964928058,0.2720725205549846
3785,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",MA,30,46848.17,22047.73,19698.5,0.5293790557880916,0.42047533553605193
3786,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",NC,30,40647.47,12958.7,11096.83,0.6811929500163233,0.27300173909962905
3787,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",MI,31,45528.45,15137.61,12868.19,0.66751317033635,0.28264063459221656
3788,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",PA,32,70281.97,17373.34,11990.25,0.7528051646816389,0.17060207617970868
3789,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",GA,33,37796.27,11925.0,10198.7,0.6844926761291524,0.2698335047347265
3790,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",NJ,35,84592.97,16081.97,14281.6,0.8098899944049724,0.1688272677977851
3791,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",IL,39,62712.82,14703.18,12962.0,0.7655474590362864,0.20668820187004827
3792,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",TX,39,70080.92,13802.54,11776.03,0.8030485330386644,0.16803475182688812
3793,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",FL,66,71284.38,12536.73,10581.06,0.8241307562750775,0.14843448171955761
3794,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",NY,72,87871.96,22984.4,19942.56,0.7384330564607868,0.22695021255927375
3795,"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",CA,78,101603.99,20135.05,16208.63,0.8018281565517259,0.159527494934008
3796,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",AR,13,23720.15,7739.08,6798.77,0.6737339350720801,0.2866242414149995
3797,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",MS,13,32090.77,7077.31,6148.31,0.7794596390176988,0.19159122701013406
3798,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",MO,14,30831.43,8937.43,7851.64,0.7101195111611754,0.2546635040930635
3799,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",WA,14,42339.71,16422.29,7983.79,0.6121303145439588,0.18856506102663434
3800,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",AZ,15,30479.07,9234.0,7198.13,0.6970380001752022,0.2361663265972354
3801,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",IN,15,48883.07,11067.27,8493.4,0.7735970756337522,0.17374931648114572
3802,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",OK,15,46650.87,8788.2,7579.67,0.8116176611497277,0.16247649829467273
3803,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",SC,17,62798.29,13707.59,11332.24,0.7817203302828787,0.18045459518085602
3804,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",KY,18,22721.0,8498.33,7000.11,0.6259702477883896,0.30808987280489414
3805,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",AL,19,33961.74,8426.68,5660.53,0.7518772595279276,0.16667373344239725
3806,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",MN,19,25412.95,10964.84,9409.05,0.5685333658626802,0.3702462720778186
3807,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",LA,20,23168.35,9619.35,7931.45,0.5848064277343876,0.34233987314590814
3808,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",NC,24,29180.79,10303.58,8267.46,0.646905378504146,0.2833185804770878
3809,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",OH,24,31677.13,9330.96,7616.33,0.705435435596596,0.2404362390153401
3810,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",VA,25,39561.72,13810.84,6353.96,0.6509039546308907,0.16060879051770247
3811,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",TN,29,31118.83,8018.79,7226.41,0.7423171115366484,0.2322198488824933
3812,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",MD,32,18171.75,16757.78,15863.97,0.07781143808383899,0.8730017747327582
3813,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",MA,34,36307.56,12188.35,10490.82,0.6643026961877913,0.28894312919953863
3814,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",GA,35,31812.74,8560.29,7186.2,0.7309162932837598,0.22589063375238974
3815,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",MI,36,21796.42,10065.17,9027.53,0.53821912038766,0.41417489661146195
3816,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",NJ,40,79179.23,11231.73,9595.05,0.8581480269510072,0.1211814007284486
3817,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",PA,42,49032.76,11075.5,8093.1,0.7741204043990181,0.1650549550953281
3818,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",IL,49,42839.27,10628.12,8029.61,0.751907070311889,0.1874357336154421
3819,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",TX,61,53409.69,9766.16,6808.49,0.8171462893718349,0.12747668072965784
3820,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",NY,64,46186.75,13458.81,11134.08,0.7086001937785188,0.24106653964611063
3821,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",CA,74,61208.7,12316.18,10622.15,0.7987838330172018,0.17353987259981016
3822,"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",FL,106,46447.61,8483.11,7351.52,0.8173617544584102,0.15827552806269257
3823,"148 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",PA,12,28766.75,6644.0,4859.58,0.7690389077667793,0.1689304492165434
3824,"148 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",IL,13,34897.46,7072.0,5277.31,0.797349148046878,0.15122332685530696
3825,"148 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",NY,14,48493.5,10741.64,8967.79,0.7784932001196037,0.18492767071875613
3826,"148 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",TX,14,24875.93,6048.14,4986.0,0.7568677834356344,0.20043471741559007
3827,"148 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",CA,21,48827.86,9716.57,8221.1,0.8010035664065556,0.1683690417724635
3828,"148 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",FL,26,34075.38,5607.31,4380.62,0.8354439480939023,0.1285567468359854
3829,149 - DYSEQUILIBRIUM,HI,17,20046.12,7380.41,5542.06,0.6318285034709958,0.27646547062473936
3830,149 - DYSEQUILIBRIUM,SD,21,19942.71,5297.86,3760.67,0.7343460342150089,0.1885736692756401
3831,149 - DYSEQUILIBRIUM,ND,23,15027.17,4635.78,3446.26,0.6915067840451662,0.22933526405836896
3832,149 - DYSEQUILIBRIUM,MT,25,13230.88,4507.12,3205.56,0.6593484333619531,0.24227866929486172
3833,149 - DYSEQUILIBRIUM,VT,30,16089.83,6041.43,4642.63,0.6245187177241773,0.28854437865409394
3834,149 - DYSEQUILIBRIUM,ID,33,16295.52,5064.15,3442.33,0.6892305369819436,0.21124394925721915
3835,149 - DYSEQUILIBRIUM,UT,35,18289.63,5233.4,3939.51,0.7138597117601614,0.21539582812774233
3836,149 - DYSEQUILIBRIUM,NM,42,21946.26,5113.83,3784.31,0.7669839872488525,0.17243530332730952
3837,149 - DYSEQUILIBRIUM,ME,53,15893.77,5051.17,3710.87,0.6821918273638036,0.2334795331755776
3838,149 - DYSEQUILIBRIUM,DC,57,23183.35,6929.12,4884.68,0.7011165340643177,0.21069776369679105
3839,149 - DYSEQUILIBRIUM,RI,69,18059.39,5654.88,4298.29,0.6868731446632471,0.2380085927597776
3840,149 - DYSEQUILIBRIUM,OR,74,18053.74,5373.61,4138.93,0.7023547475481534,0.22925609873632832
3841,149 - DYSEQUILIBRIUM,DE,78,15194.87,6007.36,3741.67,0.6046455152298112,0.24624560789266375
